연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,
2024,서울특별시,강서구,산업용," 30,240,488 "," 28,784,795 "," 29,132,700 "," 28,407,896 "," 28,357,378 "," 27,791,209 "," 29,655,947 "," 30,345,700 "," 29,443,590 "," 27,944,761 "," 27,224,413 "," 29,153,898 ",
2024,서울특별시,강서구,농사용," 453,827 "," 444,606 "," 459,319 "," 476,087 "," 506,296 "," 553,052 "," 626,026 "," 680,520 "," 650,084 "," 544,786 "," 591,951 "," 431,904 ",
2024,서울특별시,강서구,가로등," 1,257,762 "," 1,193,750 "," 1,090,705 "," 1,034,661 "," 939,897 "," 892,848 "," 876,574 "," 941,347 "," 1,013,956 "," 1,082,360 "," 1,173,687 "," 1,229,443 ",
2024,서울특별시,강서구,심 야," 697,545 "," 622,006 "," 497,945 "," 406,002 "," 1,006,794 "," 1,522,884 "," 2,710,743 "," 3,074,397 "," 2,255,482 "," 838,045 "," 565,555 "," 443,675 ",
2024,서울특별시,강서구,합 계," 261,004,634 "," 246,013,571 "," 222,646,702 "," 211,930,555 "," 205,718,120 "," 221,825,727 "," 266,401,237 "," 312,633,250 "," 297,255,213 "," 229,834,269 "," 211,514,374 "," 236,603,108 ",
2024,서울특별시,구로구,주택용," 54,930,846 "," 53,386,367 "," 48,305,695 "," 47,455,830 "," 44,547,065 "," 48,267,668 "," 58,403,563 "," 79,712,321 "," 75,886,989 "," 52,387,843 "," 46,470,385 "," 49,874,864 ",
2024,서울특별시,구로구,일반용," 87,234,875 "," 79,100,629 "," 67,475,742 "," 60,953,342 "," 60,008,963 "," 69,272,467 "," 82,342,836 "," 93,581,286 "," 84,897,698 "," 64,935,116 "," 93,045,971 "," 76,163,281 ",
2024,서울특별시,구로구,교육용," 4,568,291 "," 3,827,657 "," 3,562,230 "," 2,709,500 "," 2,004,196 "," 2,536,072 "," 3,054,581 "," 2,882,394 "," 3,519,983 "," 2,299,657 "," 2,552,951 "," 4,466,568 ",
2024,서울특별시,구로구,산업용," 30,462,105 "," 29,065,156 "," 25,097,993 "," 24,076,819 "," 23,204,677 "," 25,424,950 "," 26,175,046 "," 28,795,522 "," 27,180,141 "," 23,420,481 "," 23,457,237 "," 26,508,443 ",
2024,서울특별시,구로구,농사용," 56,016 "," 55,977 "," 45,092 "," 42,918 "," 41,243 "," 44,981 "," 51,466 "," 54,428 "," 51,068 "," 41,629 "," 39,348 "," 41,491 ",
2024,서울특별시,구로구,가로등," 950,120 "," 912,548 "," 848,297 "," 815,440 "," 749,271 "," 723,234 "," 697,413 "," 753,432 "," 793,130 "," 843,386 "," 935,250 "," 986,293 ",
2024,서울특별시,구로구,심 야," 457,654 "," 476,775 "," 382,497 "," 374,958 "," 603,776 "," 1,124,486 "," 1,357,970 "," 1,560,355 "," 1,287,725 "," 376,870 "," 177,683 "," 343,674 ",
2024,서울특별시,구로구,합 계," 178,659,907 "," 166,825,109 "," 145,717,546 "," 136,428,807 "," 131,159,191 "," 147,393,858 "," 172,082,875 "," 207,339,738 "," 193,616,734 "," 144,304,982 "," 166,678,825 "," 158,384,614 ",
2024,서울특별시,영등포구,주택용," 57,773,280 "," 55,560,375 "," 50,360,884 "," 49,322,753 "," 46,519,500 "," 51,836,808 "," 64,430,372 "," 85,925,750 "," 80,370,680 "," 55,675,405 "," 48,722,859 "," 52,433,570 ",
2024,서울특별시,영등포구,일반용," 169,571,174 "," 153,848,044 "," 141,391,165 "," 132,765,390 "," 133,105,365 "," 150,889,316 "," 177,034,035 "," 195,176,104 "," 177,459,291 "," 141,508,777 "," 131,732,671 "," 152,449,026 ",
2024,서울특별시,영등포구,교육용," 3,514,189 "," 2,851,795 "," 2,408,610 "," 2,249,792 "," 1,450,555 "," 1,634,232 "," 2,103,728 "," 1,795,688 "," 2,367,116 "," 1,578,136 "," 1,450,206 "," 2,558,576 ",
2024,서울특별시,영등포구,산업용," 18,896,282 "," 18,367,282 "," 17,425,416 "," 17,268,953 "," 16,861,626 "," 17,661,152 "," 19,470,165 "," 20,647,670 "," 19,571,471 "," 17,511,790 "," 16,261,853 "," 16,956,585 ",
